??电视公告,#genre#
CCTV15音乐,http://117.72.68.25:9930/migu.php?id=cctv15$咪咕直播
CCTV17农业农村,http://117.72.68.25:9930/migu.php?id=cctv17$咪咕直播
CCTV1综合,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226559/index.m3u8
CCTV1综合,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226016/index.m3u8
CCTV1综合,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226514/index.m3u8
CCTV2财经,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226540/index.m3u8
CCTV2财经,http://ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221225588/index.m3u8
CCTV3综艺,http://ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221226021/index.m3u8
CCTV4中文国际,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226428/index.m3u8
CCTV4中文国际,http://ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221226007/index.m3u8
CCTV5体育,http://ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221226019/index.m3u8
CCTV5体育,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226469/index.m3u8
CCTV5+体育赛事,http://ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221225603/index.m3u8
CCTV6电影,http://ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221226010/index.m3u8
CCTV7国防军事,http://ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221225733/index.m3u8
CCTV8电视剧,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226008/index.m3u8
CCTV9纪录,http://ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221225734/index.m3u8
CCTV10科教,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226473/index.m3u8
CCTV10科教,http://ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221225730/index.m3u8
CCTV11戏曲,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226565/index.m3u8
CCTV11戏曲,http://ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221225597/index.m3u8
CCTV12社会与法,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226568/index.m3u8
CCTV12社会与法,http://ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221225731/index.m3u8
CCTV13新闻,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226571/index.m3u8
CCTV13新闻,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226537/index.m3u8
CCTV13新闻,http://ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221226011/index.m3u8
CCTV14少儿,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226591/index.m3u8
CCTV14少儿,http://ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221225732/index.m3u8
CCTV15音乐,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226476/index.m3u8
CCTV15音乐,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225601/index.m3u8
CCTV16奥林匹克,http://ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221226100/index.m3u8
CCTV17农业农村,http://ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221225765/index.m3u8
CCTV6电影,http://8.138.7.223/tv/cctv6.m3u8
$官方频道
CCTV1综合,http://tvbox6.com/tv/bfgd.php?id=488$北方广电
CCTV2财经,http://tvbox6.com/tv/bfgd.php?id=061$北方广电
CCTV3综艺,http://tvbox6.com/tv/bfgd.php?id=062$北方广电
CCTV4中文国际,http://tvbox6.com/tv/bfgd.php?id=063$北方广电
CCTV5体育,http://tvbox6.com/tv/bfgd.php?id=064$北方广电
CCTV5+体育赛事,http://tvbox6.com/tv/bfgd.php?id=246$北方广电
CCTV6电影,http://tvbox6.com/tv/bfgd.php?id=065$北方广电
CCTV7国防军事,http://tvbox6.com/tv/bfgd.php?id=127$北方广电
CCTV8电视剧,http://tvbox6.com/tv/bfgd.php?id=066$北方广电
CCTV9纪录,http://tvbox6.com/tv/bfgd.php?id=128$北方广电
CCTV10科教,http://tvbox6.com/tv/bfgd.php?id=129$北方广电
CCTV11戏曲,http://tvbox6.com/tv/bfgd.php?id=130$北方广电
CCTV12社会与法,http://tvbox6.com/tv/bfgd.php?id=131$北方广电
CCTV13新闻,http://tvbox6.com/tv/bfgd.php?id=067$北方广电
CCTV14少儿,http://tvbox6.com/tv/bfgd.php?id=132$北方广电
CCTV15音乐,http://tvbox6.com/tv/bfgd.php?id=133$北方广电
CCTV17农业农村,http://tvbox6.com/tv/bfgd.php?id=204$北方广电
CCTV1综合,http://8.138.7.223/tv/mgitv.php?id=1$mgitv
CCTV1综合,http://8.138.7.223/tv/mgitv.php?id=2$mgitv
CCTV1综合,http://8.138.7.223/tv/mgitv.php?id=3$mgitv
CCTV1综合,http://8.138.7.223/tv/mgitv.php?id=4$mgitv
CCTV1综合,http://8.138.7.223/tv/mgitv.php?id=5$mgitv
CCTV1综合,http://8.138.7.223/tv/mgitv.php?id=6$mgitv
CCTV1综合,http://8.138.7.223/tv/mgitv.php?id=7$mgitv
CCTV2财经,http://8.138.7.223/tv/mgitv.php?id=8$mgitv
CCTV2财经,http://8.138.7.223/tv/mgitv.php?id=9$mgitv
CCTV2财经,http://8.138.7.223/tv/mgitv.php?id=10$mgitv
CCTV2财经,http://8.138.7.223/tv/mgitv.php?id=11$mgitv
CCTV3综艺,http://8.138.7.223/tv/mgitv.php?id=12$mgitv
CCTV3综艺,http://8.138.7.223/tv/mgitv.php?id=13$mgitv
CCTV3综艺,http://8.138.7.223/tv/mgitv.php?id=14$mgitv
CCTV3综艺,http://8.138.7.223/tv/mgitv.php?id=15$mgitv
CCTV3综艺,http://8.138.7.223/tv/mgitv.php?id=16$mgitv
CCTV4中文国际,http://8.138.7.223/tv/mgitv.php?id=17$mgitv
CCTV4中文国际,http://8.138.7.223/tv/mgitv.php?id=18$mgitv
CCTV4中文国际,http://8.138.7.223/tv/mgitv.php?id=19$mgitv
CCTV4中文国际,http://8.138.7.223/tv/mgitv.php?id=20$mgitv
CCTV5体育,http://8.138.7.223/tv/mgitv.php?id=21$mgitv
CCTV5体育,http://8.138.7.223/tv/mgitv.php?id=22$mgitv
CCTV5体育,http://8.138.7.223/tv/mgitv.php?id=23$mgitv
CCTV5体育,http://8.138.7.223/tv/mgitv.php?id=24$mgitv
CCTV5体育,http://8.138.7.223/tv/mgitv.php?id=25$mgitv
CCTV5+体育赛事,http://8.138.7.223/tv/mgitv.php?id=26$mgitv
CCTV5+体育赛事,http://8.138.7.223/tv/mgitv.php?id=27$mgitv
CCTV5+体育赛事,http://8.138.7.223/tv/mgitv.php?id=28$mgitv
CCTV5+体育赛事,http://8.138.7.223/tv/mgitv.php?id=29$mgitv
CCTV6电影,http://8.138.7.223/tv/mgitv.php?id=30$mgitv
CCTV6电影,http://8.138.7.223/tv/mgitv.php?id=31$mgitv
CCTV6电影,http://8.138.7.223/tv/mgitv.php?id=32$mgitv
CCTV6电影,http://8.138.7.223/tv/mgitv.php?id=33$mgitv
CCTV6电影,http://8.138.7.223/tv/mgitv.php?id=34$mgitv
CCTV6电影,http://8.138.7.223/tv/mgitv.php?id=35$mgitv
CCTV7国防军事,http://8.138.7.223/tv/mgitv.php?id=36$mgitv
CCTV7国防军事,http://8.138.7.223/tv/mgitv.php?id=37$mgitv
CCTV7国防军事,http://8.138.7.223/tv/mgitv.php?id=38$mgitv
CCTV7国防军事,http://8.138.7.223/tv/mgitv.php?id=39$mgitv
CCTV7国防军事,http://8.138.7.223/tv/mgitv.php?id=40$mgitv
CCTV8电视剧,http://8.138.7.223/tv/mgitv.php?id=41$mgitv
CCTV8电视剧,http://8.138.7.223/tv/mgitv.php?id=42$mgitv
CCTV8电视剧,http://8.138.7.223/tv/mgitv.php?id=43$mgitv
CCTV8电视剧,http://8.138.7.223/tv/mgitv.php?id=44$mgitv
CCTV8电视剧,http://8.138.7.223/tv/mgitv.php?id=45$mgitv
CCTV9纪录,http://8.138.7.223/tv/mgitv.php?id=46$mgitv
CCTV9纪录,http://8.138.7.223/tv/mgitv.php?id=47$mgitv
CCTV9纪录,http://8.138.7.223/tv/mgitv.php?id=48$mgitv
CCTV9纪录,http://8.138.7.223/tv/mgitv.php?id=49$mgitv
CCTV9纪录,http://8.138.7.223/tv/mgitv.php?id=50$mgitv
CCTV10科教,http://8.138.7.223/tv/mgitv.php?id=51$mgitv
CCTV10科教,http://8.138.7.223/tv/mgitv.php?id=52$mgitv
CCTV10科教,http://8.138.7.223/tv/mgitv.php?id=53$mgitv
CCTV10科教,http://8.138.7.223/tv/mgitv.php?id=54$mgitv
CCTV10科教,http://8.138.7.223/tv/mgitv.php?id=55$mgitv
CCTV10科教,http://8.138.7.223/tv/mgitv.php?id=56$mgitv
CCTV11戏曲,http://8.138.7.223/tv/mgitv.php?id=57$mgitv
CCTV11戏曲,http://8.138.7.223/tv/mgitv.php?id=58$mgitv
CCTV11戏曲,http://8.138.7.223/tv/mgitv.php?id=59$mgitv
CCTV11戏曲,http://8.138.7.223/tv/mgitv.php?id=60$mgitv
CCTV12社会与法,http://8.138.7.223/tv/mgitv.php?id=61$mgitv
CCTV12社会与法,http://8.138.7.223/tv/mgitv.php?id=62$mgitv
CCTV12社会与法,http://8.138.7.223/tv/mgitv.php?id=63$mgitv
CCTV12社会与法,http://8.138.7.223/tv/mgitv.php?id=64$mgitv
CCTV12社会与法,http://8.138.7.223/tv/mgitv.php?id=65$mgitv
CCTV13新闻,http://8.138.7.223/tv/mgitv.php?id=66$mgitv
CCTV13新闻,http://8.138.7.223/tv/mgitv.php?id=67$mgitv
CCTV13新闻,http://8.138.7.223/tv/mgitv.php?id=68$mgitv
CCTV14少儿,http://8.138.7.223/tv/mgitv.php?id=69$mgitv
CCTV14少儿,http://8.138.7.223/tv/mgitv.php?id=70$mgitv
CCTV14少儿,http://8.138.7.223/tv/mgitv.php?id=71$mgitv
CCTV14少儿,http://8.138.7.223/tv/mgitv.php?id=72$mgitv
CCTV14少儿,http://8.138.7.223/tv/mgitv.php?id=73$mgitv
CCTV15音乐,http://8.138.7.223/tv/mgitv.php?id=74$mgitv
CCTV15音乐,http://8.138.7.223/tv/mgitv.php?id=75$mgitv
CCTV15音乐,http://8.138.7.223/tv/mgitv.php?id=76$mgitv
CCTV15音乐,http://8.138.7.223/tv/mgitv.php?id=77$mgitv
CCTV16奥林匹克,http://8.138.7.223/tv/mgitv.php?id=78$mgitv
CCTV17农业农村,http://8.138.7.223/tv/mgitv.php?id=79$mgitv
CCTV17农业农村,http://8.138.7.223/tv/mgitv.php?id=80$mgitv
CCTV17农业农村,http://8.138.7.223/tv/mgitv.php?id=81$mgitv
CCTV17农业农村,http://8.138.7.223/tv/mgitv.php?id=82$mgitv
//中国教育电视台
CETV1,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225652/index.m3u8
CETV2,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226425/index.m3u8
CETV4,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225783/index.m3u8
CETV1,http://8.138.7.223/tv/cetv1.m3u8$央视频
CETV1,http://8.138.7.223/tv/sdu.php?id=51$山东大学
CETV3,http://8.138.7.223/tv/sdu.php?id=52$山东大学
CETV4,http://8.138.7.223/tv/sdu.php?id=53$山东大学
CETV1,http://8.138.7.223/tv/zb/bjcucc.php?id=27$北京联通组播
CETV2,http://8.138.7.223/tv/zb/bjcucc.php?id=28$北京联通组播
CETV3,http://8.138.7.223/tv/zb/bjcucc.php?id=29$北京联通组播
CETV4,http://8.138.7.223/tv/zb/bjcucc.php?id=30$北京联通组播
CETV早期教育,
CETV1,http://gslbservzqhsw.itv.cmvideo.cn/5000000002000002652/1.m3u8
?channel-id=bestzb&Contentid=5000000002000002652&livemode=1&stbId=3
CETV2,http://gslbservzqhsw.itv.cmvideo.cn/1.m3u8
?channel-id=ystenlive&Contentid=1000000005000266004&livemode=1&stbId=3
CETV4,http://gslbservzqhsw.itv.cmvideo.cn/000000001000/5000000011000031126/index.m3u8
?channel-id=bestzb&livemode=1&stbId=10&Contentid=5000000011000031126
CETV4,http://gslbservzqhsw.itv.cmvideo.cn/5000000011000031126/1.m3u8
?channel-id=bestzb&Contentid=5000000011000031126&livemode=1&stbId=3
??全国卫视,#genre#
东方卫视,http://117.72.68.25:9930/migu.php?id=dfws$咪咕直播
吉林卫视,http://117.72.68.25:9930/migu.php?id=jlws$咪咕直播
辽宁卫视,http://117.72.68.25:9930/migu.php?id=lnws$咪咕直播
内蒙古卫视,http://117.72.68.25:9930/migu.php?id=nmws$咪咕直播
甘肃卫视,http://117.72.68.25:9930/migu.php?id=gsws$咪咕直播
青海卫视,http://117.72.68.25:9930/migu.php?id=qhws$咪咕直播
陕西卫视,http://117.72.68.25:9930/migu.php?id=sxws$咪咕直播
山东卫视,http://117.72.68.25:9930/migu.php?id=sdws$咪咕直播
河南卫视,http://117.72.68.25:9930/migu.php?id=hnws$咪咕直播
湖北卫视,http://117.72.68.25:9930/migu.php?id=hubws$咪咕直播
江西卫视,http://117.72.68.25:9930/migu.php?id=jxws$咪咕直播
江苏卫视,http://117.72.68.25:9930/migu.php?id=jsws$咪咕直播
海峡卫视,http://117.72.68.25:9930/migu.php?id=hxws$咪咕直播
广东卫视,http://117.72.68.25:9930/migu.php?id=gdws$咪咕直播
大湾区卫视,http://117.72.68.25:9930/migu.php?id=dwqws$咪咕直播
广西卫视,http://117.72.68.25:9930/migu.php?id=gxws$咪咕直播
云南卫视,http://117.72.68.25:9930/migu.php?id=ynws$咪咕直播
贵州卫视,http://117.72.68.25:9930/migu.php?id=gzws$咪咕直播
新疆卫视,http://117.72.68.25:9930/migu.php?id=xjws$咪咕直播
西藏卫视,http://117.72.68.25:9930/migu.php?id=xzws$咪咕直播
海南卫视,http://117.72.68.25:9930/migu.php?id=hinws$咪咕直播
北京卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225728/index.m3u8
北京卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226450/index.m3u8
北京卫视,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226251/index.m3u8
天津卫视,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226459/index.m3u8
天津卫视,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225740/index.m3u8
天津卫视,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226395/index.m3u8
河北卫视,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226406/index.m3u8
河北卫视,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225623/index.m3u8
河北卫视,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226448/index.m3u8
山西卫视,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225624/index.m3u8
山西卫视,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226392/index.m3u8
内蒙古卫视,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225634/index.m3u8
内蒙古卫视,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226389/index.m3u8
辽宁卫视,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226546/index.m3u8
辽宁卫视,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225619/index.m3u8
辽宁卫视,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226254/index.m3u8
吉林卫视,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226397/index.m3u8
吉林卫视,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226386/index.m3u8
黑龙江卫视,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226327/index.m3u8
黑龙江卫视,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226419/index.m3u8
黑龙江卫视,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226467/index.m3u8
黑龙江卫视,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226525/index.m3u8
黑龙江卫视,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226531/index.m3u8
黑龙江卫视,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226532/index.m3u8
黑龙江卫视,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226582/index.m3u8
黑龙江卫视,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226585/index.m3u8
黑龙江卫视,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226421/index.m3u8
东方卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225735/index.m3u8
东方卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226345/index.m3u8
东方卫视,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226336/index.m3u8
江苏卫视,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226310/index.m3u8
江苏卫视,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225613/index.m3u8
江苏卫视,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226495/index.m3u8
浙江卫视,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226339/index.m3u8
浙江卫视,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225612/index.m3u8
浙江卫视,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226342/index.m3u8
海南卫视,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226465/index.m3u8
安徽卫视,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226391/index.m3u8
安徽卫视,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226498/index.m3u8
东南卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226341/index.m3u8
东南卫视,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225620/index.m3u8
东南卫视,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226377/index.m3u8
江西卫视,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226344/index.m3u8
江西卫视,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226504/index.m3u8
山东卫视,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226456/index.m3u8
山东卫视,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226507/index.m3u8
河南卫视,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226480/index.m3u8
河南卫视,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226320/index.m3u8
湖北卫视,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226477/index.m3u8
湖北卫视,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225627/index.m3u8
湖北卫视,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226501/index.m3u8
湖南卫视,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226307/index.m3u8
湖南卫视,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225610/index.m3u8
湖南卫视,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226430/index.m3u8
广东卫视,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226248/index.m3u8
广东卫视,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226374/index.m3u8
广西卫视,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226549/index.m3u8
广西卫视,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226380/index.m3u8
海南卫视,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226445/index.m3u8
海南卫视,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225639/index.m3u8
重庆卫视,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226409/index.m3u8
重庆卫视,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225618/index.m3u8
重庆卫视,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226463/index.m3u8
四川卫视,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226338/index.m3u8
四川卫视,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226513/index.m3u8
贵州卫视,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226474/index.m3u8
贵州卫视,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225626/index.m3u8
贵州卫视,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226383/index.m3u8
云南卫视,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226444/index.m3u8
西藏卫视,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226433/index.m3u8
西藏卫视,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225638/index.m3u8
陕西卫视,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225625/index.m3u8
陕西卫视,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226457/index.m3u8
甘肃卫视,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225633/index.m3u8
甘肃卫视,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226522/index.m3u8
青海卫视,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225628/index.m3u8
青海卫视,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226323/index.m3u8
宁夏卫视,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225632/index.m3u8
宁夏卫视,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226454/index.m3u8
新疆卫视,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225635/index.m3u8
新疆卫视,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226460/index.m3u8
延边卫视,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226516/index.m3u8
海峡卫视
厦门卫视
大湾区卫视,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226442/index.m3u8
深圳卫视,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226313/index.m3u8
深圳卫视,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225739/index.m3u8
深圳卫视,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226510/index.m3u8
三沙卫视
康巴卫视,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225660/index.m3u8
农林卫视
安多卫视,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225659/index.m3u8
兵团卫视,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226439/index.m3u8
卡酷少儿,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225654/index.m3u8
哈哈炫动,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225657/index.m3u8
优漫卡通,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225656/index.m3u8
金鹰卡通,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225653/index.m3u8
山东教育卫视,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225655/index.m3u8
重庆卫视,http://8.138.7.223/tv/zb/bjcucc.php?id=77$北京联通组播HD
江西卫视,http://8.138.7.223/tv/zb/bjcucc.php?id=78$北京联通组播HD
湖南卫视,http://8.138.7.223/tv/zb/bjcucc.php?id=79$北京联通组播HD
黑龙江卫视,http://8.138.7.223/tv/zb/bjcucc.php?id=80$北京联通组播HD
深圳卫视,http://8.138.7.223/tv/zb/bjcucc.php?id=81$北京联通组播HD
江苏卫视,http://8.138.7.223/tv/zb/bjcucc.php?id=82$北京联通组播HD
东方卫视,http://8.138.7.223/tv/zb/bjcucc.php?id=83$北京联通组播HD
浙江卫视,http://8.138.7.223/tv/zb/bjcucc.php?id=84$北京联通组播HD
湖北卫视,http://8.138.7.223/tv/zb/bjcucc.php?id=85$北京联通组播HD
天津卫视,http://8.138.7.223/tv/zb/bjcucc.php?id=86$北京联通组播HD
广东卫视,http://8.138.7.223/tv/zb/bjcucc.php?id=87$北京联通组播HD
东南卫视,http://8.138.7.223/tv/zb/bjcucc.php?id=88$北京联通组播HD
山东卫视,http://8.138.7.223/tv/zb/bjcucc.php?id=89$北京联通组播HD
辽宁卫视,http://8.138.7.223/tv/zb/bjcucc.php?id=90$北京联通组播HD
安徽卫视,http://8.138.7.223/tv/zb/bjcucc.php?id=91$北京联通组播HD
河北卫视,http://8.138.7.223/tv/zb/bjcucc.php?id=92$北京联通组播HD
贵州卫视,http://8.138.7.223/tv/zb/bjcucc.php?id=93$北京联通组播HD
山东教育卫视,http://8.138.7.223/tv/zb/bjcucc.php?id=123$北京联通组播
厦门卫视,http://8.138.7.223/tv/zb/bjcucc.php?id=124$北京联通组播
兵团卫视,http://8.138.7.223/tv/zb/bjcucc.php?id=125$北京联通组播
三沙卫视,http://8.138.7.223/tv/zb/bjcucc.php?id=126$北京联通组播
云南卫视,http://8.138.7.223/tv/zb/bjcucc.php?id=127$北京联通组播
河南卫视,http://8.138.7.223/tv/zb/bjcucc.php?id=128$北京联通组播
四川卫视,http://8.138.7.223/tv/zb/bjcucc.php?id=129$北京联通组播
广西卫视,http://8.138.7.223/tv/zb/bjcucc.php?id=130$北京联通组播
吉林卫视,http://8.138.7.223/tv/zb/bjcucc.php?id=131$北京联通组播
陕西卫视,http://8.138.7.223/tv/zb/bjcucc.php?id=132$北京联通组播
山西卫视,http://8.138.7.223/tv/zb/bjcucc.php?id=133$北京联通组播
